93.745498 ,  3 , < 0.085295, 6.127926, 0.014712 >, < 0.082074, 6.118232 , 0.078623 > <-0.036104, -0.208534, 0.977349>, < 0.081378 , 6.112094 , 0.104706 >
93.762156 ,  3 , < 0.085316, 6.127957, 0.014376 >, < 0.082104, 6.118124 , 0.078241 > <-0.040937, -0.230705, 0.972162>, < 0.081539 , 6.111930 , 0.104631 >
93.778814 ,  3 , < 0.085261, 6.127926, 0.014168 >, < 0.082085, 6.118421 , 0.077809 > <-0.028358, -0.218206, 0.975491>, < 0.081490 , 6.111906 , 0.104771 >
93.795471 ,  3 , < 0.085227, 6.127982, 0.013989 >, < 0.082102, 6.118381 , 0.078261 > <-0.024194, -0.221726, 0.974809>, < 0.081485 , 6.111934 , 0.104639 >
93.812128 ,  3 , < 0.085198, 6.128020, 0.013861 >, < 0.082123, 6.118398 , 0.078117 > <-0.026468, -0.218214, 0.975542>, < 0.081416 , 6.111951 , 0.104686 >
93.828785 ,  3 , < 0.085198, 6.128006, 0.013878 >, < 0.082093, 6.118330 , 0.078307 > <-0.034414, -0.232547, 0.971976>, < 0.081427 , 6.111954 , 0.104602 >
93.845442 ,  3 , < 0.085276, 6.128038, 0.013876 >, < 0.082106, 6.118479 , 0.077931 > <-0.037619, -0.223600, 0.973955>, < 0.081532 , 6.111951 , 0.104646 >
93.862099 ,  3 , < 0.085274, 6.128089, 0.013866 >, < 0.082091, 6.118390 , 0.078138 > <-0.039980, -0.223167, 0.973960>, < 0.081620 , 6.111983 , 0.104701 >
93.878756 ,  3 , < 0.085239, 6.128014, 0.013843 >, < 0.082065, 6.118328 , 0.078305 > <-0.039827, -0.234725, 0.971246>, < 0.081638 , 6.112006 , 0.104684 >
93.895413 ,  3 , < 0.085235, 6.127964, 0.013656 >, < 0.082030, 6.118387 , 0.078188 > <-0.035886, -0.229124, 0.972735>, < 0.081645 , 6.111936 , 0.104615 >
93.912070 ,  3 , < 0.085238, 6.127975, 0.013598 >, < 0.082031, 6.118394 , 0.078139 > <-0.034454, -0.227445, 0.973181>, < 0.081624 , 6.111931 , 0.104608 >
93.928728 ,  3 , < 0.085224, 6.127988, 0.013586 >, < 0.082041, 6.118420 , 0.078029 > <-0.031788, -0.217653, 0.975508>, < 0.081574 , 6.111933 , 0.104634 >
93.945384 ,  3 , < 0.085182, 6.128041, 0.013616 >, < 0.082050, 6.118368 , 0.077904 > <-0.030957, -0.223655, 0.974177>, < 0.081650 , 6.111915 , 0.104712 >
93.962041 ,  3 , < 0.085183, 6.128066, 0.013609 >, < 0.082059, 6.118359 , 0.077902 > <-0.031482, -0.227688, 0.973225>, < 0.081675 , 6.111915 , 0.104734 >
93.978699 ,  3 , < 0.085198, 6.128073, 0.013582 >, < 0.082068, 6.118358 , 0.077929 > <-0.031830, -0.228247, 0.973083>, < 0.081664 , 6.111916 , 0.104741 >
93.995356 ,  3 , < 0.085194, 6.127984, 0.013543 >, < 0.082083, 6.118344 , 0.078210 > <-0.032229, -0.231848, 0.972218>, < 0.081500 , 6.111976 , 0.104708 >
94.012013 ,  3 , < 0.085206, 6.127985, 0.013535 >, < 0.082087, 6.118287 , 0.078185 > <-0.041035, -0.222572, 0.974052>, < 0.081466 , 6.111959 , 0.104686 >
94.028669 ,  3 , < 0.085206, 6.128000, 0.013532 >, < 0.082091, 6.118283 , 0.078153 > <-0.043168, -0.221083, 0.974299>, < 0.081469 , 6.111941 , 0.104696 >
94.045327 ,  3 , < 0.085197, 6.128022, 0.013538 >, < 0.082103, 6.118327 , 0.078104 > <-0.040242, -0.225506, 0.973410>, < 0.081483 , 6.111934 , 0.104736 >
