5.784383 ,  1 , < 0.085410, 6.127394, 0.013868 >, < 0.082248, 6.117494 , 0.076994 > <-0.042264, -0.235568, 0.970938>, < 0.081623 , 6.110995 , 0.103679 >
5.801041 ,  1 , < 0.085419, 6.127387, 0.013820 >, < 0.082257, 6.117471 , 0.076997 > <-0.041059, -0.235096, 0.971105>, < 0.081616 , 6.110981 , 0.103657 >
5.817699 ,  1 , < 0.085434, 6.127481, 0.013485 >, < 0.082299, 6.117585 , 0.077196 > <-0.023121, -0.239145, 0.970708>, < 0.081609 , 6.111009 , 0.103685 >
5.834356 ,  1 , < 0.085433, 6.127539, 0.013325 >, < 0.082276, 6.117468 , 0.077231 > <-0.037382, -0.221399, 0.974467>, < 0.081593 , 6.110911 , 0.103752 >
5.851013 ,  1 , < 0.085426, 6.127490, 0.013245 >, < 0.082266, 6.117419 , 0.077278 > <-0.037403, -0.226656, 0.973257>, < 0.081634 , 6.110873 , 0.103738 >
5.867670 ,  1 , < 0.085426, 6.127484, 0.013217 >, < 0.082252, 6.117410 , 0.077303 > <-0.031512, -0.223623, 0.974166>, < 0.081658 , 6.110867 , 0.103750 >
5.884327 ,  1 , < 0.085442, 6.127409, 0.013191 >, < 0.082227, 6.117428 , 0.077347 > <-0.035833, -0.225772, 0.973521>, < 0.081645 , 6.110889 , 0.103757 >
5.900984 ,  1 , < 0.085444, 6.127382, 0.013169 >, < 0.082226, 6.117402 , 0.077322 > <-0.040575, -0.226556, 0.973153>, < 0.081636 , 6.110879 , 0.103730 >
5.917641 ,  1 , < 0.085449, 6.127413, 0.013169 >, < 0.082228, 6.117363 , 0.077330 > <-0.039603, -0.224265, 0.973723>, < 0.081623 , 6.110858 , 0.103721 >
5.934299 ,  1 , < 0.085433, 6.127399, 0.013092 >, < 0.082266, 6.117438 , 0.077331 > <-0.029983, -0.213820, 0.976413>, < 0.081565 , 6.110879 , 0.103713 >
5.950956 ,  1 , < 0.085403, 6.127413, 0.012858 >, < 0.082247, 6.117143 , 0.077972 > <-0.033545, -0.231072, 0.972358>, < 0.081614 , 6.110995 , 0.103781 >
5.967612 ,  1 , < 0.085429, 6.127523, 0.012884 >, < 0.082274, 6.117324 , 0.077420 > <-0.028933, -0.220566, 0.974943>, < 0.081560 , 6.110956 , 0.103771 >
